file old,file new,conjunction model count,percentage of old,percentage of new,retainment
Knüppel2017-2_1.dimacs,Knüppel2017-2_2.dimacs,0,0,0,0
Knüppel2017-2_2.dimacs,Knüppel2017-2_3.dimacs,0,0,0,0
Knüppel2017-2_3.dimacs,Knüppel2017-2_4.dimacs,0,0,0,0
