,directory,seed,file_old,file_new,sampler,method,algorithm,sampling_time,num_samples,num_valid_old_expected,num_valid_old,num_needed_old,num_retained,num_retained_expected,num_more_old,num_needed_new,num_candidates_new,spur_fallback
25,data/histories_unified/uClibc,16873,2009-10-28_20-56-34.dimacs,2009-11-09_15-35-16.dimacs,spur,rejection,expectation_uniform,0.23421895131468773,1000.0,689.6790404351734,689.0,513.0,513.0,512.8483742154099,0.0,487.0,1050.0,
26,data/histories_unified/uClibc,16873,2009-11-09_15-35-16.dimacs,2009-11-19_17-57-37.dimacs,spur,rejection,expectation_uniform,0.36023062095046043,1000.0,512.8483742154099,513.0,689.0,513.0,512.8483742154099,176.0,311.0,1052.0,
27,data/histories_unified/uClibc,16873,2009-11-19_17-57-37.dimacs,2009-11-19_18-03-00.dimacs,spur,rejection,expectation_uniform,0.2502035051584244,1000.0,1000.0,1000.0,501.0,501.0,500.1610305958132,0.0,499.0,1048.0,
28,data/histories_unified/uClibc,16873,2009-11-19_18-03-00.dimacs,2009-11-19_18-21-10.dimacs,spur,rejection,expectation_uniform,0.2634547147899866,1000.0,1000.0,1000.0,501.0,501.0,500.08052826542115,0.0,499.0,1048.0,
29,data/histories_unified/uClibc,16873,2009-11-19_18-21-10.dimacs,2009-11-19_18-23-41.dimacs,spur,rejection,expectation_uniform,0.23654097504913807,1000.0,500.08052826542115,604.0,501.0,501.0,500.08052826542115,0.0,499.0,1048.0,
30,data/histories_unified/uClibc,16873,2009-11-19_18-23-41.dimacs,2009-11-19_18-57-32.dimacs,spur,rejection,expectation_uniform,0.28537985868752,1000.0,928.5829326093459,951.0,505.0,505.0,505.51941887717845,0.0,495.0,1071.0,
31,data/histories_unified/uClibc,16873,2009-11-19_18-57-32.dimacs,2009-11-19_22-36-07.dimacs,spur,rejection,expectation_uniform,3.418761223554611,1000.0,767.7262904476667,746.0,999.0,746.0,767.7262904476667,253.0,1.0,30000.0,
32,data/histories_unified/uClibc,16873,2009-11-19_22-36-07.dimacs,2009-11-22_23-54-40.dimacs,spur,rejection,expectation_uniform,0.29343009553849697,1000.0,1000.0,1000.0,500.0,500.0,500.31535171525945,0.0,500.0,1051.0,
33,data/histories_unified/uClibc,16873,2009-11-22_23-54-40.dimacs,2010-02-16_15-11-07.dimacs,spur,rejection,expectation_uniform,0.1863236352801323,1000.0,793.1241342791177,798.0,1000.0,798.0,793.1241342791177,202.0,0.0,0.0,
34,data/histories_unified/uClibc,16873,2010-02-16_15-11-07.dimacs,2010-03-12_14-47-15.dimacs,spur,rejection,expectation_uniform,0.22015730664134026,1000.0,739.1633203686143,742.0,1000.0,742.0,739.1633203686143,258.0,0.0,0.0,
35,data/histories_unified/uClibc,16873,2010-03-12_14-47-15.dimacs,2010-03-12_17-06-35.dimacs,spur,rejection,expectation_uniform,0.23352497443556786,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1050.0,
36,data/histories_unified/uClibc,16873,2010-03-12_17-06-35.dimacs,2010-04-02_09-19-24.dimacs,spur,rejection,expectation_uniform,0.27063556388020515,1000.0,1000.0,1000.0,586.0,586.0,586.2482685582353,0.0,414.0,1051.0,
37,data/histories_unified/uClibc,16873,2010-04-02_09-19-24.dimacs,2010-04-02_10-29-00.dimacs,spur,rejection,expectation_uniform,0.19086907245218754,1000.0,793.1241342791177,772.0,1000.0,772.0,793.1241342791177,228.0,0.0,0.0,
38,data/histories_unified/uClibc,16873,2010-04-02_10-29-00.dimacs,2010-04-12_16-38-37.dimacs,spur,rejection,expectation_uniform,0.19560543447732925,1000.0,895.6653281474457,905.0,1000.0,905.0,895.6653281474457,95.0,0.0,0.0,
39,data/histories_unified/uClibc,16873,2010-04-12_16-38-37.dimacs,2010-04-14_15-34-22.dimacs,spur,rejection,expectation_uniform,0.2921504359692335,1000.0,825.2673148546085,838.0,501.0,501.0,500.157747191482,0.0,499.0,1048.0,
40,data/histories_unified/uClibc,16873,2010-04-14_15-34-22.dimacs,2010-04-29_17-17-18.dimacs,spur,rejection,expectation_uniform,0.2851187437772751,1000.0,1000.0,1000.0,496.0,496.0,495.16037988411716,0.0,504.0,1048.0,
41,data/histories_unified/uClibc,16873,2010-04-29_17-17-18.dimacs,2010-09-14_14-36-00.dimacs,spur,rejection,expectation_uniform,0.0736020877957344,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,
42,data/histories_unified/uClibc,16873,2010-09-14_14-36-00.dimacs,2010-09-15_12-31-22.dimacs,spur,rejection,expectation_uniform,0.33842376433312893,1000.0,1000.0,1000.0,980.0,980.0,979.2928223442036,0.0,20.0,1281.0,
43,data/histories_unified/uClibc,16873,2010-09-15_12-31-22.dimacs,2010-09-17_13-06-58.dimacs,spur,rejection,expectation_uniform,0.28244249522686005,1000.0,1000.0,1000.0,501.0,501.0,500.0772478133254,0.0,499.0,1048.0,
44,data/histories_unified/uClibc,16873,2010-09-17_13-06-58.dimacs,2010-09-17_16-13-17.dimacs,spur,rejection,expectation_uniform,0.27132332138717175,1000.0,1000.0,1000.0,666.0,666.0,666.7010007963022,0.0,334.0,1052.0,
45,data/histories_unified/uClibc,16873,2010-09-17_16-13-17.dimacs,2010-11-24_23-02-11.dimacs,spur,rejection,expectation_uniform,0.5508617088198662,1000.0,333.0039974692718,501.0,993.0,501.0,333.0039974692718,492.0,7.0,1163.0,
46,data/histories_unified/uClibc,16873,2010-11-24_23-02-11.dimacs,2011-02-24_08-24-43.dimacs,spur,rejection,expectation_uniform,0.1632456425577402,1000.0,611.6840460108768,682.0,1000.0,682.0,611.6840460108768,318.0,0.0,0.0,
47,data/histories_unified/uClibc,16873,2011-02-24_08-24-43.dimacs,2011-03-03_18-22-47.dimacs,spur,rejection,expectation_uniform,0.06972384452819824,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,
48,data/histories_unified/uClibc,16873,2011-03-03_18-22-47.dimacs,2011-03-05_18-10-15.dimacs,spur,rejection,expectation_uniform,0.23548012785613537,1000.0,999.9957019292726,1000.0,947.0,947.0,946.2215318823106,0.0,53.0,1035.0,
49,data/histories_unified/uClibc,16873,2011-03-05_18-10-15.dimacs,2011-04-20_12-50-38.dimacs,spur,rejection,expectation_uniform,0.5370201822370291,1000.0,960.7150613083488,960.0,990.0,960.0,960.7150613083488,30.0,10.0,2474.0,
50,data/histories_unified/uClibc,16873,2011-04-20_12-50-38.dimacs,2011-04-26_14-12-55.dimacs,spur,rejection,expectation_uniform,0.224992660805583,1000.0,1000.0,1000.0,512.0,512.0,511.5806792199772,0.0,488.0,1049.0,
51,data/histories_unified/uClibc,16873,2011-04-26_14-12-55.dimacs,2011-07-25_09-09-03.dimacs,spur,rejection,expectation_uniform,0.23704089224338531,1000.0,447.33350103738917,302.0,145.0,145.0,145.08338142966787,0.0,855.0,1050.0,
52,data/histories_unified/uClibc,16873,2011-07-25_09-09-03.dimacs,2011-08-26_09-29-52.dimacs,spur,rejection,expectation_uniform,0.2071863543242216,1000.0,1000.0,1000.0,666.0,666.0,666.738243504402,0.0,334.0,1052.0,
53,data/histories_unified/uClibc,16873,2011-08-26_09-29-52.dimacs,2011-10-14_14-11-01.dimacs,spur,rejection,expectation_uniform,0.37483526207506657,1000.0,999.999815524929,1000.0,988.0,988.0,988.8791570559165,0.0,12.0,2324.0,
54,data/histories_unified/uClibc,16873,2011-10-14_14-11-01.dimacs,2011-10-25_12-28-51.dimacs,spur,rejection,expectation_uniform,0.20407227985560894,1000.0,1000.0,1000.0,500.0,500.0,500.0115508732892,0.0,500.0,1050.0,
55,data/histories_unified/uClibc,16873,2011-10-25_12-28-51.dimacs,2011-10-27_12-48-31.dimacs,spur,rejection,expectation_uniform,0.08761140517890453,1000.0,975.9501825209362,990.0,1000.0,990.0,975.9501825209362,10.0,0.0,0.0,
56,data/histories_unified/uClibc,16873,2011-10-27_12-48-31.dimacs,2011-11-02_16-49-04.dimacs,spur,rejection,expectation_uniform,0.2511415407061577,1000.0,1000.0,1000.0,506.0,506.0,505.28605627168486,0.0,494.0,1048.0,
57,data/histories_unified/uClibc,16873,2011-11-02_16-49-04.dimacs,2011-11-20_02-47-50.dimacs,spur,rejection,expectation_uniform,0.06556477956473827,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,
58,data/histories_unified/uClibc,16873,2011-11-20_02-47-50.dimacs,2011-12-22_13-59-24.dimacs,spur,rejection,expectation_uniform,0.2677076496183872,1000.0,1000.0,1000.0,750.0,750.0,750.0,0.0,250.0,1050.0,
59,data/histories_unified/uClibc,16873,2011-12-22_13-59-24.dimacs,2011-12-22_14-07-08.dimacs,spur,rejection,expectation_uniform,0.2570217363536358,1000.0,1000.0,1000.0,666.0,666.0,666.6666666666666,0.0,334.0,1052.0,
60,data/histories_unified/uClibc,16873,2011-12-22_14-07-08.dimacs,2012-01-26_15-26-47.dimacs,spur,rejection,expectation_uniform,0.23153961449861526,1000.0,1000.0,1000.0,896.0,896.0,896.8093477969047,0.0,104.0,1058.0,
61,data/histories_unified/uClibc,16873,2012-01-26_15-26-47.dimacs,2012-04-18_00-09-02.dimacs,spur,rejection,expectation_uniform,0.07018179260194302,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,
62,data/histories_unified/uClibc,16873,2012-04-18_00-09-02.dimacs,2012-05-21_22-20-04.dimacs,spur,rejection,expectation_uniform,0.06646113283932209,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,
63,data/histories_unified/uClibc,16873,2012-05-21_22-20-04.dimacs,2012-06-15_14-00-31.dimacs,spur,rejection,expectation_uniform,0.11927641741931438,1000.0,914.007789830754,904.0,1000.0,904.0,914.007789830754,96.0,0.0,0.0,
64,data/histories_unified/uClibc,16873,2012-06-15_14-00-31.dimacs,2012-06-15_14-00-36.dimacs,spur,rejection,expectation_uniform,0.2391832210123539,1000.0,1000.0,1000.0,667.0,667.0,666.6717714532145,0.0,333.0,1049.0,
65,data/histories_unified/uClibc,16873,2012-06-15_14-00-36.dimacs,2012-06-15_14-00-37.dimacs,spur,rejection,expectation_uniform,0.3240362498909235,1000.0,82.35294137813119,76.0,397.0,76.0,82.35294137813119,321.0,603.0,1049.0,
66,data/histories_unified/uClibc,16873,2012-06-15_14-00-37.dimacs,2012-06-15_14-00-44.dimacs,spur,rejection,expectation_uniform,0.2691605370491743,1000.0,1000.0,1000.0,334.0,334.0,333.3333333333333,0.0,666.0,1049.0,
67,data/histories_unified/uClibc,16873,2012-06-15_14-00-44.dimacs,2013-01-10_10-56-19.dimacs,spur,rejection,expectation_uniform,0.2529347911477089,1000.0,192.99218769641868,170.0,68.0,68.0,68.75370522679056,0.0,932.0,1051.0,
68,data/histories_unified/uClibc,16873,2013-01-10_10-56-19.dimacs,2013-02-20_13-45-10.dimacs,spur,rejection,expectation_uniform,0.22779864631593227,1000.0,2.1526854852969732,0.0,3.0,0.0,2.1526854852969732,3.0,997.0,1049.0,
69,data/histories_unified/uClibc,16873,2013-02-20_13-45-10.dimacs,2013-03-14_22-27-19.dimacs,spur,rejection,expectation_uniform,0.3540859576314688,1000.0,1000.0,1000.0,998.0,998.0,997.5352401430016,0.0,2.0,1748.0,
70,data/histories_unified/uClibc,16873,2013-03-14_22-27-19.dimacs,2013-03-14_22-45-15.dimacs,spur,rejection,expectation_uniform,0.2586507275700569,1000.0,1000.0,1000.0,995.0,995.0,995.8828794309675,0.0,5.0,1275.0,
71,data/histories_unified/uClibc,16873,2013-03-14_22-45-15.dimacs,2013-04-04_00-25-06.dimacs,spur,rejection,expectation_uniform,0.08117733523249626,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,
72,data/histories_unified/uClibc,16873,2013-04-04_00-25-06.dimacs,2013-05-19_01-09-07.dimacs,spur,rejection,expectation_uniform,0.13345973007380962,1000.0,792.2372057129974,800.0,1000.0,800.0,792.2372057129974,200.0,0.0,0.0,
73,data/histories_unified/uClibc,16873,2013-05-19_01-09-07.dimacs,2013-06-14_10-43-41.dimacs,spur,rejection,expectation_uniform,0.054527170956134796,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,
74,data/histories_unified/uClibc,16873,2013-06-14_10-43-41.dimacs,2013-08-02_14-04-17.dimacs,spur,rejection,expectation_uniform,0.2704521641135216,1000.0,600.6140351104608,591.0,376.0,376.0,375.239765449771,0.0,624.0,1049.0,
75,data/histories_unified/uClibc,16873,2013-08-02_14-04-17.dimacs,2013-11-06_22-21-59.dimacs,spur,rejection,expectation_uniform,0.22818892635405064,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1050.0,
76,data/histories_unified/uClibc,16873,2013-11-06_22-21-59.dimacs,2013-12-20_14-38-23.dimacs,spur,rejection,expectation_uniform,0.4332919158041477,1000.0,1000.0,1000.0,991.0,991.0,990.414312375197,0.0,9.0,1430.0,
77,data/histories_unified/uClibc,16873,2013-12-20_14-38-23.dimacs,2014-09-09_13-48-45.dimacs,spur,rejection,expectation_uniform,0.23549790307879448,1000.0,980.0278571394044,982.0,925.0,925.0,924.0769534520119,0.0,75.0,1037.0,
78,data/histories_unified/uClibc,16873,2014-09-09_13-48-45.dimacs,2014-12-12_14-43-55.dimacs,spur,rejection,expectation_uniform,0.39284136705100536,1000.0,1000.0,1000.0,996.0,996.0,996.9205117866686,0.0,4.0,1842.0,
79,data/histories_unified/uClibc,16873,2014-12-12_14-43-55.dimacs,2014-12-12_16-18-12.dimacs,spur,rejection,expectation_uniform,0.25532341562211514,1000.0,333.3333333333333,307.0,1000.0,307.0,333.3333333333333,693.0,0.0,0.0,
80,data/histories_unified/uClibc,16873,2014-12-12_16-18-12.dimacs,2015-02-20_11-30-20.dimacs,spur,rejection,expectation_uniform,0.2611437067389488,1000.0,385.47546454109056,369.0,233.0,233.0,233.54125174319347,0.0,767.0,1051.0,
81,data/histories_unified/uClibc,16873,2015-02-20_11-30-20.dimacs,2015-02-20_15-41-13.dimacs,spur,rejection,expectation_uniform,0.25491651333868504,1000.0,1000.0,1000.0,601.0,601.0,600.0039123674505,0.0,399.0,1047.0,
82,data/histories_unified/uClibc,16873,2015-02-20_15-41-13.dimacs,2015-03-24_00-11-21.dimacs,spur,rejection,expectation_uniform,0.23906195349991322,1000.0,1000.0,1000.0,334.0,334.0,333.3333333333333,0.0,666.0,1049.0,
83,data/histories_unified/uClibc,16873,2015-03-24_00-11-21.dimacs,2015-03-25_23-59-45.dimacs,spur,rejection,expectation_uniform,108.87073298357427,,,,,,,,,,True
84,data/histories_unified/uClibc,16873,2015-03-25_23-59-45.dimacs,2015-03-26_00-50-17.dimacs,spur,rejection,expectation_uniform,0.2518636789172888,1000.0,1000.0,1000.0,333.0,333.0,333.3333333333333,0.0,667.0,1051.0,
85,data/histories_unified/uClibc,16873,2015-03-26_00-50-17.dimacs,2015-10-09_05-34-32.dimacs,spur,rejection,expectation_uniform,0.10564247705042362,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1050.0,
86,data/histories_unified/uClibc,16873,2015-10-09_05-34-32.dimacs,2015-10-12_16-36-26.dimacs,spur,rejection,expectation_uniform,0.027360685169696808,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,
87,data/histories_unified/uClibc,16873,2015-10-12_16-36-26.dimacs,2015-10-16_19-27-26.dimacs,spur,rejection,expectation_uniform,0.02611364796757698,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,
88,data/histories_unified/uClibc,16873,2015-10-16_19-27-26.dimacs,2015-10-19_01-37-11.dimacs,spur,rejection,expectation_uniform,0.026934541761875153,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,
89,data/histories_unified/uClibc,16873,2015-10-19_01-37-11.dimacs,2015-10-22_03-52-27.dimacs,spur,rejection,expectation_uniform,0.02890622429549694,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,
90,data/histories_unified/uClibc,16873,2015-10-22_03-52-27.dimacs,2015-11-03_18-39-11.dimacs,spur,rejection,expectation_uniform,0.026996400207281113,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,
91,data/histories_unified/uClibc,16873,2015-11-03_18-39-11.dimacs,2015-12-05_21-00-06.dimacs,spur,rejection,expectation_uniform,0.0700102336704731,1000.0,600.0,571.0,1000.0,571.0,600.0,429.0,0.0,0.0,
92,data/histories_unified/uClibc,16873,2015-12-05_21-00-06.dimacs,2015-12-05_21-12-19.dimacs,spur,rejection,expectation_uniform,0.027864141389727592,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,
93,data/histories_unified/uClibc,16873,2015-12-05_21-12-19.dimacs,2015-12-09_07-53-09.dimacs,spur,rejection,expectation_uniform,0.027578111737966537,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,
94,data/histories_unified/uClibc,16873,2015-12-09_07-53-09.dimacs,2016-01-01_19-48-17.dimacs,spur,rejection,expectation_uniform,0.028744259849190712,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,
95,data/histories_unified/uClibc,16873,2016-01-01_19-48-17.dimacs,2016-01-02_16-57-03.dimacs,spur,rejection,expectation_uniform,0.02656688168644905,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,
96,data/histories_unified/uClibc,16873,2016-01-02_16-57-03.dimacs,2016-01-03_19-22-22.dimacs,spur,rejection,expectation_uniform,0.0685115996748209,1000.0,555.1367799935124,549.0,1000.0,549.0,555.1367799935124,451.0,0.0,0.0,
97,data/histories_unified/uClibc,16873,2016-01-03_19-22-22.dimacs,2016-01-25_23-53-18.dimacs,spur,rejection,expectation_uniform,0.030210858210921288,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,
98,data/histories_unified/uClibc,16873,2016-01-25_23-53-18.dimacs,2016-03-26_23-33-28.dimacs,spur,rejection,expectation_uniform,0.22772624157369137,1000.0,1000.0,1000.0,1.0,1.0,4.677458728968217e-06,0.0,999.0,1049.0,
99,data/histories_unified/uClibc,16873,2016-03-26_23-33-28.dimacs,2016-05-18_18-41-24.dimacs,spur,rejection,expectation_uniform,0.33848655596375465,1000.0,628.1014838800061,645.0,749.0,645.0,628.1014838800061,104.0,251.0,1049.0,
100,data/histories_unified/uClibc,16873,2016-05-18_18-41-24.dimacs,2016-06-01_19-59-03.dimacs,spur,rejection,expectation_uniform,0.33586765453219414,1000.0,1000.0,1000.0,896.0,896.0,896.7636938046326,0.0,104.0,1190.0,
101,data/histories_unified/uClibc,16873,2016-06-01_19-59-03.dimacs,2016-06-07_04-14-23.dimacs,spur,rejection,expectation_uniform,0.23325403220951557,1000.0,547.169812549136,545.0,1000.0,545.0,547.169812549136,455.0,0.0,0.0,
102,data/histories_unified/uClibc,16873,2016-06-07_04-14-23.dimacs,2016-06-19_17-52-51.dimacs,spur,rejection,expectation_uniform,0.24707911163568497,1000.0,1000.0,1000.0,200.0,200.0,200.0,0.0,800.0,1050.0,
103,data/histories_unified/uClibc,16873,2016-06-19_17-52-51.dimacs,2016-06-30_03-24-42.dimacs,spur,rejection,expectation_uniform,0.2648805323988199,1000.0,1000.0,1000.0,932.0,932.0,932.7479775735583,0.0,68.0,1062.0,
104,data/histories_unified/uClibc,16873,2016-06-30_03-24-42.dimacs,2016-08-27_19-23-20.dimacs,spur,rejection,expectation_uniform,0.25154852494597435,1000.0,807.4130888005653,763.0,678.0,678.0,677.0266227293373,0.0,322.0,1047.0,
105,data/histories_unified/uClibc,16873,2016-08-27_19-23-20.dimacs,2016-09-30_18-43-55.dimacs,spur,rejection,expectation_uniform,0.22952468879520893,1000.0,507.70986962759355,525.0,1000.0,525.0,507.70986962759355,475.0,0.0,0.0,
106,data/histories_unified/uClibc,16873,2016-09-30_18-43-55.dimacs,2016-10-16_23-31-56.dimacs,spur,rejection,expectation_uniform,0.23357737436890602,1000.0,999.9999229638531,1000.0,538.0,538.0,537.0852281413404,0.0,462.0,1048.0,
107,data/histories_unified/uClibc,16873,2016-10-16_23-31-56.dimacs,2016-11-03_20-37-48.dimacs,spur,rejection,expectation_uniform,0.2415128219872713,1000.0,1000.0,1000.0,995.0,995.0,995.9491391745458,0.0,5.0,1296.0,
108,data/histories_unified/uClibc,16873,2016-11-03_20-37-48.dimacs,2016-11-04_00-03-07.dimacs,spur,rejection,expectation_uniform,96.28799093700945,,,,,,,,,,True
109,data/histories_unified/uClibc,16873,2016-11-04_00-03-07.dimacs,2016-11-27_16-35-32.dimacs,spur,rejection,expectation_uniform,0.3547863718122244,1000.0,500.1100110011001,493.0,917.0,493.0,500.1100110011001,424.0,83.0,1043.0,
110,data/histories_unified/uClibc,16873,2016-11-27_16-35-32.dimacs,2016-11-27_22-32-11.dimacs,spur,rejection,expectation_uniform,94.09589530713856,,,,,,,,,,True
111,data/histories_unified/uClibc,16873,2016-11-27_22-32-11.dimacs,2016-11-29_08-38-20.dimacs,spur,rejection,expectation_uniform,0.19776221737265587,1000.0,500.2199736031676,513.0,1000.0,513.0,500.2199736031676,487.0,0.0,0.0,
112,data/histories_unified/uClibc,16873,2016-11-29_08-38-20.dimacs,2016-12-14_07-56-05.dimacs,spur,rejection,expectation_uniform,0.05602834187448025,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,
