file,model_count
2007-05-20_17-12-43.dimacs,581699889727912840305125452634532545565772602739700678452849118972437321959357768252638400000000000000
2007-05-20_21-51-38.dimacs,581699889727912840305125452634532545565772602739700678452849118972437321959357768252638400000000000000
2007-05-21_23-30-54.dimacs,581699889727912840305125452634532545565772602739700678452849118972437321959357768252638400000000000000
2007-06-08_08-02-53.dimacs,6927538707219717152180532772319769868404115256832345321217567555570324699339870547417366400000000000000
2007-06-08_13-05-39.dimacs,20782616121659151456541598316959309605212345770497035963652702666710974098019611642252099200000000000000
2007-06-10_15-08-44.dimacs,20782616121659151456541598316959309605212345770497035963652702666710974098019611642252099200000000000000
2007-06-10_17-11-59.dimacs,27710154828878868608722131089279079473616461027329381284870270222281298797359482189669465600000000000000
2007-06-11_16-31-55.dimacs,41565232243318302913083196633918619210424691540994071927305405333421948196039223284504198400000000000000
2007-06-12_08-12-33.dimacs,24939139345990981747849917980351171526254814924596443156383243200053168917623533970702519040000000000000
2007-06-12_22-04-57.dimacs,45062054571160869153906138685746066768146229237856675186710644803419574935510306585854135040000000000000
2007-06-13_07-34-15.dimacs,78858595499531521019335742700055616844255901166249181576743628405984256137143036525244736320000000000000
2007-06-15_23-43-11.dimacs,315433178717571793101024195936263542979612841334205670213180586434005648300443060305773355840000000000000
2007-06-16_13-37-59.dimacs,315433178717571793101024195936263542979612841334205670213180586434005648300443060305773355840000000000000
2007-06-17_19-09-05.dimacs,315433178717571793101024195936263542979612841334205670213180586434005648300443060305773355840000000000000
2007-06-19_11-24-47.dimacs,315433178717571793101024195936263542979612841334205670213180586434005648300443060305773355840000000000000
2007-06-19_13-46-24.dimacs,315433178717571793101024195936263542979612841334205670213180586434005648300443060305773355840000000000000
2007-06-19_22-22-57.dimacs,630319015069999893062991621090002918222567976565964823882630879237615146084269300038752166720000000000000
2007-06-20_15-23-03.dimacs,630319015069999893062991621090002918222567976565964823882630879237615146084269300038752166720000000000000
2007-06-21_12-41-59.dimacs,1259715705641226232511818392125598192396052090369291001265981696415154592315317902802212119360000000000000
